t,asset,close
1772082000,eth,2066.1
1772085600,btc,68161.0
1772085600,eth,2062.75
1772089200,btc,67807.5
1772089200,eth,2053.6
1772092800,btc,67951.0
1772092800,eth,2054.6
1772096400,btc,68569.5
1772096400,eth,2074.95
1772100000,btc,68290.5
1772100000,eth,2065.1
1772103600,btc,68055.0
1772103600,eth,2057.7
1772107200,btc,68162.5
1772107200,eth,2070.15
1772110800,btc,67881.5
1772110800,eth,2065.15
1772114400,btc,67709.5
1772114400,eth,2051.55
1772118000,btc,67369.5
1772118000,eth,2032.35
1772121600,btc,66612.5
1772121600,eth,1982.85
1772125200,btc,66815.5
1772125200,eth,1988.95
1772128800,btc,67295.5
1772128800,eth,2003.7
1772132400,btc,67574.0
1772132400,eth,2030.05
1772136000,btc,67391.5
1772136000,eth,2024.2
1772139600,btc,67447.5
1772139600,eth,2030.0
1772143200,btc,67554.0
1772143200,eth,2033.0
1772146800,btc,67458.0
1772146800,eth,2027.4
1772150400,btc,67209.5
1772150400,eth,2014.25
1772154000,btc,67340.5
1772154000,eth,2021.7
1772157600,btc,67247.5
1772157600,eth,2025.95
1772161200,btc,67603.5
1772161200,eth,2044.7
1772164800,btc,67740.0
1772164800,eth,2042.45
1772168400,btc,67715.0
1772168400,eth,2041.3
1772172000,btc,67652.0
1772172000,eth,2036.15
1772175600,btc,67648.5
1772175600,eth,2031.95
1772179200,btc,67933.5
1772179200,eth,2033.55
1772182800,btc,67365.5
1772182800,eth,2010.0
1772186400,btc,66608.5
1772186400,eth,1980.45
1772190000,btc,66108.0
1772190000,eth,1961.95
1772193600,btc,65903.5
1772193600,eth,1959.5
1772197200,btc,66272.0
1772197200,eth,1962.75
1772200800,btc,65910.5
1772200800,eth,1943.25
1772204400,btc,66113.0
1772204400,eth,1947.7
1772208000,btc,65450.0
1772208000,eth,1926.4
1772211600,btc,65669.5
1772211600,eth,1932.45
1772215200,btc,65290.0
1772215200,eth,1917.95
1772218800,btc,65379.0
1772218800,eth,1920.85
1772222400,btc,65586.5
1772222400,eth,1922.7
1772226000,btc,65520.5
1772226000,eth,1920.85
1772229600,btc,65621.0
1772229600,eth,1920.6
1772233200,btc,65848.0
1772233200,eth,1929.0
1772236800,btc,65914.0
1772236800,eth,1931.15
1772240400,btc,65765.0
1772240400,eth,1924.5
1772244000,btc,65956.5
1772244000,eth,1930.05
1772247600,btc,65783.0
1772247600,eth,1923.75
1772251200,btc,65655.5
1772251200,eth,1924.7
1772254800,btc,65596.5
1772254800,eth,1919.8
1772258400,btc,63158.0
1772258400,eth,1842.75
1772262000,btc,63782.5
1772262000,eth,1865.8
1772265600,btc,63433.0
1772265600,eth,1851.85
1772269200,btc,63640.0
1772269200,eth,1855.25
1772272800,btc,63987.5
1772272800,eth,1864.85
1772276400,btc,63834.5
1772276400,eth,1862.9
1772280000,btc,64015.5
1772280000,eth,1868.05
1772283600,btc,65105.0
1772283600,eth,1905.2
1772287200,btc,64418.5
1772287200,eth,1888.0
1772290800,btc,64839.5
1772290800,eth,1898.6
1772294400,btc,65087.5
1772294400,eth,1904.0
1772298000,btc,65439.0
1772298000,eth,1906.8
1772301600,btc,65913.5
1772301600,eth,1936.65
1772305200,btc,66358.0
1772305200,eth,1947.95
1772308800,btc,66957.5
1772308800,eth,1965.95
1772312400,btc,66705.5
1772312400,eth,1957.2
1772316000,btc,67115.5
1772316000,eth,1965.65
1772319600,btc,66986.5
1772319600,eth,1965.25
1772323200,btc,66796.5
1772323200,eth,1962.7
1772326800,btc,67341.0
1772326800,eth,2013.5
1772330400,btc,67609.5
1772330400,eth,2033.45
1772334000,btc,67484.5
1772334000,eth,2023.0
1772337600,btc,67321.5
1772337600,eth,2015.4
1772341200,btc,67268.0
1772341200,eth,2010.85
1772344800,btc,66914.5
1772344800,eth,1998.7
1772348400,btc,67116.5
1772348400,eth,2007.15
1772352000,btc,66548.0
1772352000,eth,1986.3
1772355600,btc,66391.0
1772355600,eth,1980.4
1772359200,btc,66462.0
1772359200,eth,1984.3
1772362800,btc,66463.5
1772362800,eth,1983.35
1772366400,btc,66290.0
1772366400,eth,1977.8
1772370000,btc,66953.0
1772370000,eth,2006.6
1772373600,btc,66869.0
1772373600,eth,2000.85
1772377200,btc,66830.5
1772377200,eth,1993.2
1772380800,btc,66123.0
1772380800,eth,1973.85
1772384400,btc,65973.0
1772384400,eth,1960.15
1772388000,btc,66306.0
1772388000,eth,1975.2
1772391600,btc,65959.0
1772391600,eth,1954.0
1772395200,btc,65286.0
1772395200,eth,1914.1
1772398800,btc,65667.0
1772398800,eth,1928.8
1772402400,btc,65239.0
1772402400,eth,1923.75
1772406000,btc,65776.0
1772406000,eth,1939.15
1772409600,btc,66521.5
1772409600,eth,1961.4
1772413200,btc,66542.5
1772413200,eth,1963.7
1772416800,btc,66285.0
1772416800,eth,1955.15
1772420400,btc,66821.0
1772420400,eth,1971.8
1772424000,btc,66858.5
1772424000,eth,1972.75
1772427600,btc,66722.0
1772427600,eth,1970.25
1772431200,btc,66211.0
1772431200,eth,1943.75
1772434800,btc,66017.0
1772434800,eth,1941.0
1772438400,btc,66274.0
1772438400,eth,1948.6
1772442000,btc,66171.0
1772442000,eth,1948.2
1772445600,btc,66321.5
1772445600,eth,1952.4
1772449200,btc,66355.5
1772449200,eth,1947.25
1772452800,btc,65971.5
1772452800,eth,1937.55
1772456400,btc,65443.5
1772456400,eth,1926.8
1772460000,btc,67184.0
1772460000,eth,1979.4
1772463600,btc,69146.5
1772463600,eth,2047.25
1772467200,btc,69467.0
1772467200,eth,2064.35
1772470800,btc,69200.0
1772470800,eth,2041.1
1772474400,btc,68879.0
1772474400,eth,2029.45
1772478000,btc,68967.0
1772478000,eth,2043.8
1772481600,btc,69090.0
1772481600,eth,2035.85
1772485200,btc,69399.5
1772485200,eth,2043.8
1772488800,btc,69441.5
1772488800,eth,2053.95
1772492400,btc,68815.0
1772492400,eth,2027.75
1772496000,btc,69086.0
1772496000,eth,2036.25
1772499600,btc,68738.0
1772499600,eth,2020.2
1772503200,btc,68499.5
1772503200,eth,2013.85
1772506800,btc,68343.0
1772506800,eth,2008.05
1772510400,btc,68100.0
1772510400,eth,1999.75
1772514000,btc,67917.5
